신호등_index,관리번호,관할구,주소,X좌표,Y좌표,교통사고,label,smart_label
23784,03-0000023443,중랑구,중랑구 망우동 53 철,208214.2229,555327.3776,384.5051438,1,0.558345895
23785,03-0000065132,중랑구,중랑구 신내동 701-5구,208486.9317,557233.9901,1517.145178,1,0.492625745
23786,03-0000070199,중랑구,중랑구 묵동 610-1학,206432.6189,557442.5527,725.2341889,1,0.588005115
23787,03-0000070197,중랑구,중랑구 묵동 610-1학,206441.2687,557446.0536,720.8517421,1,0.619494266
23788,03-0000063691,중랑구,중랑구 망우동 354-20대,208855.7819,555500.7862,508.5373363,0,0.442446822
23789,03-0000070600,중랑구,중랑구 망우동 65-13 도,209157.125,556952.7345,1842.889413,1,0.661591985
23790,03-0000066556,중랑구,중랑구 신내동 ,209430.9255,557767.7145,2563.739083,1,0.822674014
23791,03-0000066575,중랑구,중랑구 신내동 245-1답,209365.3568,557309.1234,2206.817847,1,0.687609396
23792,03-0000066572,중랑구,중랑구 신내동 245-1답,209389.0227,557304.1443,2203.961665,1,0.723072995
23793,03-0000064647,중랑구,중랑구 면목동 143-68대,207078.1807,554136.2346,971.5174385,1,0.590879117
23794,03-0000064485,중랑구,중랑구 신내동 359-31 도,208851.7972,556515.1035,1443.196772,0,0.345127178
23795,03-0000045161,중랑구,중랑구 상봉동 279-92도,208022.7187,555337.3125,205.1770813,1,0.654142141
23796,03-0000036620,중랑구,중랑구 상봉동 496 대,207797.0241,555305.1739,70.3410874,1,0.631759363
23797,03-0000066568,중랑구,중랑구 신내동 산2-1임,209597.8018,557513.3133,2439.150759,1,0.854520169
23798,03-0000024174,중랑구,중랑구 상봉동 63대,208162.17,555413.8893,364.1499709,1,0.555993969
23799,03-0000066590,중랑구,중랑구 신내동 230-7 과,209907.4985,557411.9607,2413.817884,1,0.892641225
23800,03-0000066585,중랑구,중랑구 신내동 256-16 전,209747.8,557467.1187,2424.258347,1,0.914460597
23801,03-0000066553,중랑구,중랑구 신내동 ,209449.0724,557754.3968,2576.980893,1,0.812357201
23802,03-0000066544,중랑구,중랑구 신내동 ,209396.5664,557885.1593,2570.039735,1,0.857526242
23803,03-0000066595,중랑구,중랑구 신내동 230-9 과,209934.1639,557392.1042,2403.11017,1,0.866656359
23804,03-0000066588,중랑구,중랑구 신내동 산2-1임,209775.0125,557478.0375,2441.351887,1,0.887972657
23805,03-0000066577,중랑구,중랑구 신내동 245-1답,209367.3664,557296.0157,2193.925762,1,0.680031203
23806,03-0000066574,중랑구,중랑구 신내동 245-1답,209378.3445,557309.5134,2208.328024,1,0.70996018
23807,03-0000066567,중랑구,중랑구 신내동 산2-1임,209597.7368,557526.6132,2452.245229,1,0.862146288
23808,03-0000066561,중랑구,중랑구 신내동 산2-1임,209645.2536,557528.9706,2463.077075,1,0.925926863
23809,03-0000066555,중랑구,중랑구 신내동 ,209467.6991,557759.8259,2596.378156,1,0.82174311
23810,03-0000064648,중랑구,중랑구 면목동 198-11도,207075.9375,554118.6937,960.3625848,1,0.6095309
23811,03-0000064642,중랑구,중랑구 면목동 145-29 대,207031.7711,554134.584,1002.692,0,0.533478839
23812,03-0000064640,중랑구,중랑구 면목동 145-63대,207041.7016,554108.1961,977.1212972,1,0.597527357
23813,03-0000055878,중랑구,중랑구 망우동 490-3 철,208695.2421,555541.3158,649.7596662,1,0.633600564
23814,03-0000055879,중랑구,중랑구 망우동 490-3 철,208695.2421,555541.3158,649.7596662,1,0.633600564
23815,03-0000079421,중랑구,중랑구 면목동 198-54도,207075.0821,554315.0818,1110.537855,1,0.510497219
23816,03-0000064457,중랑구,중랑구 상봉동 ,207621.7905,555213.55,218.9367391,1,0.761067464
23817,03-0000071446,중랑구,중랑구 상봉동 299-40도,206845.6448,554959.1896,1033.527436,1,0.676515039
23818,03-0000071103,중랑구,중랑구 면목동 497-7대,207707.1963,553326.6501,107.5555438,0,0.328906534
23819,03-0000036611,중랑구,중랑구 면목동 49-8도,208209.8178,553437.4714,466.7127216,1,0.553934557
23820,03-0000036612,중랑구,중랑구 면목동 494대,208219.1933,553468.6315,477.7231081,1,0.585208256
23821,03-0000023632,중랑구,중랑구 면목동 494대,208254.7558,553468.944,513.1904708,1,0.571486
23822,03-0000070394,중랑구,중랑구 면목동 458-5대,207829.5685,553447.1661,88.46857359,0,0.541753287
23823,03-0000070384,중랑구,중랑구 면목동 1380대,207621.8203,552457.2527,978.3061738,0,0.405076302
23824,03-0000024032,중랑구,중랑구 면목동 58-13대,208175.057,553352.9029,438.3367406,0,0.547152264
23825,03-0000070440,중랑구,중랑구 신내동 52-1잡,208010.275,557548.9812,1167.158022,1,0.86893268
23826,03-0000055973,중랑구,중랑구 신내동 278-50도,208928.2307,557056.7169,1938.550595,1,0.490875042
23827,03-0000070605,중랑구,중랑구 망우동 70-3도,208962.691,557024.6233,1927.049435,1,0.512275602
23828,03-0000055971,중랑구,중랑구 망우동 ,208974.854,557030.1471,1931.200264,1,0.526718443
23829,03-0000070604,중랑구,중랑구 망우동 70-3도,209050.9959,557019.4342,1913.86598,1,0.60802875
23830,03-0000070602,중랑구,중랑구 망우동 78-18 구,209052.8255,556998.0704,1892.427263,1,0.543257091
23831,03-0000070601,중랑구,중랑구 망우동 65-13 도,209161.3021,556971.554,1861.65797,1,0.666692638
23832,03-0000043400,중랑구,중랑구 상봉동 63대,208173.0806,555426.3845,379.6047555,1,0.607259975
23833,03-0000066589,중랑구,중랑구 신내동 산2-1임,209748.8625,557488.0562,2444.867311,1,0.907759859
23834,03-0000071102,중랑구,중랑구 면목동 497-7대,207712.816,553319.3665,112.803131,0,0.323527649
23835,03-0000064476,중랑구,중랑구 면목동 1382-13도,207602.996,552381.3424,1056.006051,0,0.379231379
23836,03-0000064421,중랑구,중랑구 망우동 519학,208493.1219,554541.0948,892.8069234,0,0.467872013
23837,03-0000036640,중랑구,중랑구 면목동 345-2대,207081.8625,552746.2312,920.9588812,1,0.53105901
23838,03-0000070393,중랑구,중랑구 면목동 458-113대,207843.6627,553443.1531,101.5981222,1,0.675821978
23839,03-0000070392,중랑구,중랑구 면목동 458-4대,207818.0543,553445.6514,76.90638741,1,0.775559854
23840,03-0000070383,중랑구,중랑구 면목동 1380대,207624.7,552473.2937,962.0322314,0,0.403545179
